pertanyaan,intent,kategori,solusi,pertanyaan_bersih
hallo,greeting,Salam & Percakapan,Halo! 👋 Selamat datang di IT Help Desk SolvIT. Ada yang bisa saya bantu?,hallo
HALLO,greeting,Salam & Percakapan,Halo! 👋 Selamat datang di IT Help Desk SolvIT. Ada yang bisa saya bantu?,hallo
Hallo,greeting,Salam & Percakapan,Selamat datang di IT Support. Saya siap melayani. Ceritakan masalahnya.,hallo
saya punya masalah: hallo,greeting,Salam & Percakapan,Selamat datang di IT Support. Saya siap melayani. Ceritakan masalahnya.,saya punya masalah hallo
bantuan! hallo,greeting,Salam & Percakapan,Halo! Saya siap membantu masalah IT Anda. Apa yang sedang bermasalah?,bantu hallo
"tolong, hallo",greeting,Salam & Percakapan,Halo! 👋 Selamat datang di IT Help Desk SolvIT. Ada yang bisa saya bantu?,tolong hallo
ada yang bisa bantu? hallo,greeting,Salam & Percakapan,Halo! 👋 Selamat datang di IT Help Desk SolvIT. Ada yang bisa saya bantu?,ada yang bisa bantu hallo
gimana ya hallo?,greeting,Salam & Percakapan,Halo! 👋 Selamat datang di IT Help Desk SolvIT. Ada yang bisa saya bantu?,gimana ya hallo
error: hallo,greeting,Salam & Percakapan,Halo! 👋 Selamat datang di IT Help Desk SolvIT. Ada yang bisa saya bantu?,error hallo
"hallo nih, bisa dibantu?",greeting,Salam & Percakapan,Halo! 👋 Selamat datang di IT Help Desk SolvIT. Ada yang bisa saya bantu?,hallo nih bisa bantu
assalamualaikum,greeting,Salam & Percakapan,Selamat datang di IT Support. Saya siap melayani. Ceritakan masalahnya.,assalamualaikum
ASSALAMUALAIKUM,greeting,Salam & Percakapan,Halo! 👋 Selamat datang di IT Help Desk SolvIT. Ada yang bisa saya bantu?,assalamualaikum
Assalamualaikum,greeting,Salam & Percakapan,Halo! Saya siap membantu masalah IT Anda. Apa yang sedang bermasalah?,assalamualaikum
saya punya masalah: assalamualaikum,greeting,Salam & Percakapan,Selamat datang di IT Support. Saya siap melayani. Ceritakan masalahnya.,saya punya masalah assalamualaikum
bantuan! assalamualaikum,greeting,Salam & Percakapan,Halo! Saya siap membantu masalah IT Anda. Apa yang sedang bermasalah?,bantu assalamualaikum
"tolong, assalamualaikum",greeting,Salam & Percakapan,Selamat datang di IT Support. Saya siap melayani. Ceritakan masalahnya.,tolong assalamualaikum
ada yang bisa bantu? assalamualaikum,greeting,Salam & Percakapan,Selamat datang di IT Support. Saya siap melayani. Ceritakan masalahnya.,ada yang bisa bantu assalamualaikum
gimana ya assalamualaikum?,greeting,Salam & Percakapan,Halo! 👋 Selamat datang di IT Help Desk SolvIT. Ada yang bisa saya bantu?,gimana ya assalamualaikum
error: assalamualaikum,greeting,Salam & Percakapan,Halo! Saya siap membantu masalah IT Anda. Apa yang sedang bermasalah?,error assalamualaikum
"assalamualaikum nih, bisa dibantu?",greeting,Salam & Percakapan,Selamat datang di IT Support. Saya siap melayani. Ceritakan masalahnya.,assalamualaikum nih bisa bantu
selamat pagi,greeting,Salam & Percakapan,Selamat datang di IT Support. Saya siap melayani. Ceritakan masalahnya.,selamat pagi
SELAMAT PAGI,greeting,Salam & Percakapan,Selamat datang di IT Support. Saya siap melayani. Ceritakan masalahnya.,selamat pagi
Selamat Pagi,greeting,Salam & Percakapan,Selamat datang di IT Support. Saya siap melayani. Ceritakan masalahnya.,selamat pagi
saya punya masalah: selamat pagi,greeting,Salam & Percakapan,Halo! 👋 Selamat datang di IT Help Desk SolvIT. Ada yang bisa saya bantu?,saya punya masalah selamat pagi
bantuan! selamat pagi,greeting,Salam & Percakapan,Halo! 👋 Selamat datang di IT Help Desk SolvIT. Ada yang bisa saya bantu?,bantu selamat pagi
"tolong, selamat pagi",greeting,Salam & Percakapan,Halo! Saya siap membantu masalah IT Anda. Apa yang sedang bermasalah?,tolong selamat pagi
ada yang bisa bantu? selamat pagi,greeting,Salam & Percakapan,Halo! Saya siap membantu masalah IT Anda. Apa yang sedang bermasalah?,ada yang bisa bantu selamat pagi
gimana ya selamat pagi?,greeting,Salam & Percakapan,Selamat datang di IT Support. Saya siap melayani. Ceritakan masalahnya.,gimana ya selamat pagi
error: selamat pagi,greeting,Salam & Percakapan,Selamat datang di IT Support. Saya siap melayani. Ceritakan masalahnya.,error selamat pagi
"selamat pagi nih, bisa dibantu?",greeting,Salam & Percakapan,Halo! 👋 Selamat datang di IT Help Desk SolvIT. Ada yang bisa saya bantu?,selamat pagi nih bisa bantu
selamat siang,greeting,Salam & Percakapan,Halo! Saya siap membantu masalah IT Anda. Apa yang sedang bermasalah?,selamat siang
SELAMAT SIANG,greeting,Salam & Percakapan,Halo! 👋 Selamat datang di IT Help Desk SolvIT. Ada yang bisa saya bantu?,selamat siang
Selamat Siang,greeting,Salam & Percakapan,Selamat datang di IT Support. Saya siap melayani. Ceritakan masalahnya.,selamat siang
saya punya masalah: selamat siang,greeting,Salam & Percakapan,Halo! Saya siap membantu masalah IT Anda. Apa yang sedang bermasalah?,saya punya masalah selamat siang
bantuan! selamat siang,greeting,Salam & Percakapan,Halo! Saya siap membantu masalah IT Anda. Apa yang sedang bermasalah?,bantu selamat siang
"tolong, selamat siang",greeting,Salam & Percakapan,Selamat datang di IT Support. Saya siap melayani. Ceritakan masalahnya.,tolong selamat siang
ada yang bisa bantu? selamat siang,greeting,Salam & Percakapan,Halo! 👋 Selamat datang di IT Help Desk SolvIT. Ada yang bisa saya bantu?,ada yang bisa bantu selamat siang
gimana ya selamat siang?,greeting,Salam & Percakapan,Selamat datang di IT Support. Saya siap melayani. Ceritakan masalahnya.,gimana ya selamat siang
error: selamat siang,greeting,Salam & Percakapan,Halo! Saya siap membantu masalah IT Anda. Apa yang sedang bermasalah?,error selamat siang
"selamat siang nih, bisa dibantu?",greeting,Salam & Percakapan,Selamat datang di IT Support. Saya siap melayani. Ceritakan masalahnya.,selamat siang nih bisa bantu
selamat sore,greeting,Salam & Percakapan,Selamat datang di IT Support. Saya siap melayani. Ceritakan masalahnya.,selamat sore
SELAMAT SORE,greeting,Salam & Percakapan,Selamat datang di IT Support. Saya siap melayani. Ceritakan masalahnya.,selamat sore
Selamat Sore,greeting,Salam & Percakapan,Selamat datang di IT Support. Saya siap melayani. Ceritakan masalahnya.,selamat sore
saya punya masalah: selamat sore,greeting,Salam & Percakapan,Halo! Saya siap membantu masalah IT Anda. Apa yang sedang bermasalah?,saya punya masalah selamat sore
bantuan! selamat sore,greeting,Salam & Percakapan,Halo! Saya siap membantu masalah IT Anda. Apa yang sedang bermasalah?,bantu selamat sore
"tolong, selamat sore",greeting,Salam & Percakapan,Selamat datang di IT Support. Saya siap melayani. Ceritakan masalahnya.,tolong selamat sore
ada yang bisa bantu? selamat sore,greeting,Salam & Percakapan,Halo! Saya siap membantu masalah IT Anda. Apa yang sedang bermasalah?,ada yang bisa bantu selamat sore
gimana ya selamat sore?,greeting,Salam & Percakapan,Halo! Saya siap membantu masalah IT Anda. Apa yang sedang bermasalah?,gimana ya selamat sore
error: selamat sore,greeting,Salam & Percakapan,Halo! 👋 Selamat datang di IT Help Desk SolvIT. Ada yang bisa saya bantu?,error selamat sore
"selamat sore nih, bisa dibantu?",greeting,Salam & Percakapan,Selamat datang di IT Support. Saya siap melayani. Ceritakan masalahnya.,selamat sore nih bisa bantu
selamat malam,greeting,Salam & Percakapan,Halo! Saya siap membantu masalah IT Anda. Apa yang sedang bermasalah?,selamat malam
SELAMAT MALAM,greeting,Salam & Percakapan,Selamat datang di IT Support. Saya siap melayani. Ceritakan masalahnya.,selamat malam
Selamat Malam,greeting,Salam & Percakapan,Selamat datang di IT Support. Saya siap melayani. Ceritakan masalahnya.,selamat malam
saya punya masalah: selamat malam,greeting,Salam & Percakapan,Halo! Saya siap membantu masalah IT Anda. Apa yang sedang bermasalah?,saya punya masalah selamat malam
bantuan! selamat malam,greeting,Salam & Percakapan,Halo! Saya siap membantu masalah IT Anda. Apa yang sedang bermasalah?,bantu selamat malam
"tolong, selamat malam",greeting,Salam & Percakapan,Halo! Saya siap membantu masalah IT Anda. Apa yang sedang bermasalah?,tolong selamat malam
ada yang bisa bantu? selamat malam,greeting,Salam & Percakapan,Selamat datang di IT Support. Saya siap melayani. Ceritakan masalahnya.,ada yang bisa bantu selamat malam
gimana ya selamat malam?,greeting,Salam & Percakapan,Selamat datang di IT Support. Saya siap melayani. Ceritakan masalahnya.,gimana ya selamat malam
error: selamat malam,greeting,Salam & Percakapan,Halo! 👋 Selamat datang di IT Help Desk SolvIT. Ada yang bisa saya bantu?,error selamat malam
"selamat malam nih, bisa dibantu?",greeting,Salam & Percakapan,Halo! 👋 Selamat datang di IT Help Desk SolvIT. Ada yang bisa saya bantu?,selamat malam nih bisa bantu
apa kabar,greeting,Salam & Percakapan,Halo! 👋 Selamat datang di IT Help Desk SolvIT. Ada yang bisa saya bantu?,apa kabar
APA KABAR,greeting,Salam & Percakapan,Halo! Saya siap membantu masalah IT Anda. Apa yang sedang bermasalah?,apa kabar
Apa Kabar,greeting,Salam & Percakapan,Selamat datang di IT Support. Saya siap melayani. Ceritakan masalahnya.,apa kabar
saya punya masalah: apa kabar,greeting,Salam & Percakapan,Halo! Saya siap membantu masalah IT Anda. Apa yang sedang bermasalah?,saya punya masalah apa kabar
bantuan! apa kabar,greeting,Salam & Percakapan,Halo! Saya siap membantu masalah IT Anda. Apa yang sedang bermasalah?,bantu apa kabar
"tolong, apa kabar",greeting,Salam & Percakapan,Halo! Saya siap membantu masalah IT Anda. Apa yang sedang bermasalah?,tolong apa kabar
ada yang bisa bantu? apa kabar,greeting,Salam & Percakapan,Selamat datang di IT Support. Saya siap melayani. Ceritakan masalahnya.,ada yang bisa bantu apa kabar
gimana ya apa kabar?,greeting,Salam & Percakapan,Selamat datang di IT Support. Saya siap melayani. Ceritakan masalahnya.,gimana ya apa kabar
error: apa kabar,greeting,Salam & Percakapan,Selamat datang di IT Support. Saya siap melayani. Ceritakan masalahnya.,error apa kabar
"apa kabar nih, bisa dibantu?",greeting,Salam & Percakapan,Halo! Saya siap membantu masalah IT Anda. Apa yang sedang bermasalah?,apa kabar nih bisa bantu
gimana kabar,greeting,Salam & Percakapan,Selamat datang di IT Support. Saya siap melayani. Ceritakan masalahnya.,gimana kabar
GIMANA KABAR,greeting,Salam & Percakapan,Halo! 👋 Selamat datang di IT Help Desk SolvIT. Ada yang bisa saya bantu?,gimana kabar
Gimana Kabar,greeting,Salam & Percakapan,Selamat datang di IT Support. Saya siap melayani. Ceritakan masalahnya.,gimana kabar
saya punya masalah: gimana kabar,greeting,Salam & Percakapan,Halo! Saya siap membantu masalah IT Anda. Apa yang sedang bermasalah?,saya punya masalah gimana kabar
bantuan! gimana kabar,greeting,Salam & Percakapan,Halo! Saya siap membantu masalah IT Anda. Apa yang sedang bermasalah?,bantu gimana kabar
"tolong, gimana kabar",greeting,Salam & Percakapan,Halo! Saya siap membantu masalah IT Anda. Apa yang sedang bermasalah?,tolong gimana kabar
ada yang bisa bantu? gimana kabar,greeting,Salam & Percakapan,Halo! Saya siap membantu masalah IT Anda. Apa yang sedang bermasalah?,ada yang bisa bantu gimana kabar
gimana ya gimana kabar?,greeting,Salam & Percakapan,Selamat datang di IT Support. Saya siap melayani. Ceritakan masalahnya.,gimana ya gimana kabar
error: gimana kabar,greeting,Salam & Percakapan,Halo! 👋 Selamat datang di IT Help Desk SolvIT. Ada yang bisa saya bantu?,error gimana kabar
"gimana kabar nih, bisa dibantu?",greeting,Salam & Percakapan,Halo! 👋 Selamat datang di IT Help Desk SolvIT. Ada yang bisa saya bantu?,gimana kabar nih bisa bantu
hows it going,greeting,Salam & Percakapan,Selamat datang di IT Support. Saya siap melayani. Ceritakan masalahnya.,hows it going
HOWS IT GOING,greeting,Salam & Percakapan,Halo! Saya siap membantu masalah IT Anda. Apa yang sedang bermasalah?,hows it going
Hows It Going,greeting,Salam & Percakapan,Halo! 👋 Selamat datang di IT Help Desk SolvIT. Ada yang bisa saya bantu?,hows it going
saya punya masalah: hows it going,greeting,Salam & Percakapan,Halo! Saya siap membantu masalah IT Anda. Apa yang sedang bermasalah?,saya punya masalah hows it going
bantuan! hows it going,greeting,Salam & Percakapan,Selamat datang di IT Support. Saya siap melayani. Ceritakan masalahnya.,bantu hows it going
"tolong, hows it going",greeting,Salam & Percakapan,Halo! 👋 Selamat datang di IT Help Desk SolvIT. Ada yang bisa saya bantu?,tolong hows it going
ada yang bisa bantu? hows it going,greeting,Salam & Percakapan,Selamat datang di IT Support. Saya siap melayani. Ceritakan masalahnya.,ada yang bisa bantu hows it going
gimana ya hows it going?,greeting,Salam & Percakapan,Selamat datang di IT Support. Saya siap melayani. Ceritakan masalahnya.,gimana ya hows it going
error: hows it going,greeting,Salam & Percakapan,Selamat datang di IT Support. Saya siap melayani. Ceritakan masalahnya.,error hows it going
"hows it going nih, bisa dibantu?",greeting,Salam & Percakapan,Halo! 👋 Selamat datang di IT Help Desk SolvIT. Ada yang bisa saya bantu?,hows it going nih bisa bantu
hey,greeting,Salam & Percakapan,Halo! Saya siap membantu masalah IT Anda. Apa yang sedang bermasalah?,hey
HEY,greeting,Salam & Percakapan,Halo! Saya siap membantu masalah IT Anda. Apa yang sedang bermasalah?,hey
Hey,greeting,Salam & Percakapan,Halo! Saya siap membantu masalah IT Anda. Apa yang sedang bermasalah?,hey
saya punya masalah: hey,greeting,Salam & Percakapan,Halo! Saya siap membantu masalah IT Anda. Apa yang sedang bermasalah?,saya punya masalah hey
bantuan! hey,greeting,Salam & Percakapan,Halo! Saya siap membantu masalah IT Anda. Apa yang sedang bermasalah?,bantu hey
"tolong, hey",greeting,Salam & Percakapan,Halo! Saya siap membantu masalah IT Anda. Apa yang sedang bermasalah?,tolong hey
ada yang bisa bantu? hey,greeting,Salam & Percakapan,Halo! Saya siap membantu masalah IT Anda. Apa yang sedang bermasalah?,ada yang bisa bantu hey
gimana ya hey?,greeting,Salam & Percakapan,Selamat datang di IT Support. Saya siap melayani. Ceritakan masalahnya.,gimana ya hey
error: hey,greeting,Salam & Percakapan,Halo! Saya siap membantu masalah IT Anda. Apa yang sedang bermasalah?,error hey
"hey nih, bisa dibantu?",greeting,Salam & Percakapan,Halo! Saya siap membantu masalah IT Anda. Apa yang sedang bermasalah?,hey nih bisa bantu
yo,greeting,Salam & Percakapan,Selamat datang di IT Support. Saya siap melayani. Ceritakan masalahnya.,yo
YO,greeting,Salam & Percakapan,Halo! Saya siap membantu masalah IT Anda. Apa yang sedang bermasalah?,yo
Yo,greeting,Salam & Percakapan,Halo! Saya siap membantu masalah IT Anda. Apa yang sedang bermasalah?,yo
saya punya masalah: yo,greeting,Salam & Percakapan,Selamat datang di IT Support. Saya siap melayani. Ceritakan masalahnya.,saya punya masalah yo
bantuan! yo,greeting,Salam & Percakapan,Halo! Saya siap membantu masalah IT Anda. Apa yang sedang bermasalah?,bantu yo
"tolong, yo",greeting,Salam & Percakapan,Halo! Saya siap membantu masalah IT Anda. Apa yang sedang bermasalah?,tolong yo
ada yang bisa bantu? yo,greeting,Salam & Percakapan,Halo! 👋 Selamat datang di IT Help Desk SolvIT. Ada yang bisa saya bantu?,ada yang bisa bantu yo
gimana ya yo?,greeting,Salam & Percakapan,Selamat datang di IT Support. Saya siap melayani. Ceritakan masalahnya.,gimana ya yo
error: yo,greeting,Salam & Percakapan,Halo! Saya siap membantu masalah IT Anda. Apa yang sedang bermasalah?,error yo
"yo nih, bisa dibantu?",greeting,Salam & Percakapan,Halo! Saya siap membantu masalah IT Anda. Apa yang sedang bermasalah?,yo nih bisa bantu
ada yang bisa dibantu,greeting,Salam & Percakapan,Halo! 👋 Selamat datang di IT Help Desk SolvIT. Ada yang bisa saya bantu?,ada yang bisa bantu
ADA YANG BISA DIBANTU,greeting,Salam & Percakapan,Halo! Saya siap membantu masalah IT Anda. Apa yang sedang bermasalah?,ada yang bisa bantu
Ada Yang Bisa Dibantu,greeting,Salam & Percakapan,Halo! Saya siap membantu masalah IT Anda. Apa yang sedang bermasalah?,ada yang bisa bantu
saya punya masalah: ada yang bisa dibantu,greeting,Salam & Percakapan,Halo! Saya siap membantu masalah IT Anda. Apa yang sedang bermasalah?,saya punya masalah ada yang bisa bantu
bantuan! ada yang bisa dibantu,greeting,Salam & Percakapan,Halo! 👋 Selamat datang di IT Help Desk SolvIT. Ada yang bisa saya bantu?,bantu ada yang bisa bantu
"tolong, ada yang bisa dibantu",greeting,Salam & Percakapan,Halo! 👋 Selamat datang di IT Help Desk SolvIT. Ada yang bisa saya bantu?,tolong ada yang bisa bantu
ada yang bisa bantu? ada yang bisa dibantu,greeting,Salam & Percakapan,Halo! 👋 Selamat datang di IT Help Desk SolvIT. Ada yang bisa saya bantu?,ada yang bisa bantu ada yang bisa bantu
gimana ya ada yang bisa dibantu?,greeting,Salam & Percakapan,Selamat datang di IT Support. Saya siap melayani. Ceritakan masalahnya.,gimana ya ada yang bisa bantu
error: ada yang bisa dibantu,greeting,Salam & Percakapan,Selamat datang di IT Support. Saya siap melayani. Ceritakan masalahnya.,error ada yang bisa bantu
"ada yang bisa dibantu nih, bisa dibantu?",greeting,Salam & Percakapan,Selamat datang di IT Support. Saya siap melayani. Ceritakan masalahnya.,ada yang bisa bantu nih bisa bantu
butuh bantuan,greeting,Salam & Percakapan,Selamat datang di IT Support. Saya siap melayani. Ceritakan masalahnya.,butuh bantu
BUTUH BANTUAN,greeting,Salam & Percakapan,Halo! Saya siap membantu masalah IT Anda. Apa yang sedang bermasalah?,butuh bantu
Butuh Bantuan,greeting,Salam & Percakapan,Selamat datang di IT Support. Saya siap melayani. Ceritakan masalahnya.,butuh bantu
saya punya masalah: butuh bantuan,greeting,Salam & Percakapan,Halo! 👋 Selamat datang di IT Help Desk SolvIT. Ada yang bisa saya bantu?,saya punya masalah butuh bantu
bantuan! butuh bantuan,greeting,Salam & Percakapan,Selamat datang di IT Support. Saya siap melayani. Ceritakan masalahnya.,bantu butuh bantu
"tolong, butuh bantuan",greeting,Salam & Percakapan,Selamat datang di IT Support. Saya siap melayani. Ceritakan masalahnya.,tolong butuh bantu
ada yang bisa bantu? butuh bantuan,greeting,Salam & Percakapan,Selamat datang di IT Support. Saya siap melayani. Ceritakan masalahnya.,ada yang bisa bantu butuh bantu
gimana ya butuh bantuan?,greeting,Salam & Percakapan,Halo! Saya siap membantu masalah IT Anda. Apa yang sedang bermasalah?,gimana ya butuh bantu
error: butuh bantuan,greeting,Salam & Percakapan,Halo! Saya siap membantu masalah IT Anda. Apa yang sedang bermasalah?,error butuh bantu
"butuh bantuan nih, bisa dibantu?",greeting,Salam & Percakapan,Halo! 👋 Selamat datang di IT Help Desk SolvIT. Ada yang bisa saya bantu?,butuh bantu nih bisa bantu
bisa ngomong sama admin,greeting,Salam & Percakapan,Selamat datang di IT Support. Saya siap melayani. Ceritakan masalahnya.,bisa ngomong sama admin
BISA NGOMONG SAMA ADMIN,greeting,Salam & Percakapan,Halo! 👋 Selamat datang di IT Help Desk SolvIT. Ada yang bisa saya bantu?,bisa ngomong sama admin
Bisa Ngomong Sama Admin,greeting,Salam & Percakapan,Halo! 👋 Selamat datang di IT Help Desk SolvIT. Ada yang bisa saya bantu?,bisa ngomong sama admin
saya punya masalah: bisa ngomong sama admin,greeting,Salam & Percakapan,Halo! Saya siap membantu masalah IT Anda. Apa yang sedang bermasalah?,saya punya masalah bisa ngomong sama admin
bantuan! bisa ngomong sama admin,greeting,Salam & Percakapan,Selamat datang di IT Support. Saya siap melayani. Ceritakan masalahnya.,bantu bisa ngomong sama admin
"tolong, bisa ngomong sama admin",greeting,Salam & Percakapan,Selamat datang di IT Support. Saya siap melayani. Ceritakan masalahnya.,tolong bisa ngomong sama admin
